sender_account,receiver_account,transaction_amount,timestamp,is_fraud,tx_id
ACC004036,ACC003393,3707.55,2023-01-01 00:03:24,0,TX00000000
ACC002261,ACC001794,7528.33,2023-01-01 00:03:26,0,TX00000001
ACC004374,ACC002097,502.61,2023-01-01 00:16:06,0,TX00000002
ACC000762,ACC001730,124.12,2023-01-01 00:18:24,0,TX00000003
ACC000401,ACC003529,661.25,2023-01-01 00:27:56,0,TX00000004
ACC002608,ACC002036,881.25,2023-01-01 00:28:11,0,TX00000005
ACC003860,ACC003738,719.42,2023-01-01 00:32:22,0,TX00000006
ACC003412,ACC002477,50000.0,2023-01-01 00:36:57,0,TX00000007
ACC003203,ACC000587,594.15,2023-01-01 00:39:24,0,TX00000008
ACC000185,ACC001411,4385.26,2023-01-01 00:41:23,0,TX00000009
ACC001878,ACC004009,247.05,2023-01-01 00:51:16,0,TX00000010
ACC004783,ACC000836,1456.48,2023-01-01 00:59:52,0,TX00000011
ACC004429,ACC001511,753.02,2023-01-01 01:14:51,0,TX00000012
ACC001900,ACC001318,3173.28,2023-01-01 01:21:29,0,TX00000013
ACC001995,ACC001928,326.69,2023-01-01 01:48:03,0,TX00000014
ACC003637,ACC002901,304.91,2023-01-01 01:48:31,0,TX00000015
ACC004303,ACC004440,1294.72,2023-01-01 01:50:54,0,TX00000016
ACC002109,ACC002095,970.27,2023-01-01 02:01:59,0,TX00000017
ACC000632,ACC000551,84.72,2023-01-01 02:23:12,0,TX00000018
ACC001772,ACC003660,4901.05,2023-01-01 02:24:35,0,TX00000019
ACC001680,ACC000078,347.75,2023-01-01 02:28:01,0,TX00000020
ACC001863,ACC004671,317.68,2023-01-01 02:30:52,0,TX00000021
ACC004765,ACC004546,443.74,2023-01-01 02:33:19,0,TX00000022
ACC002023,ACC004878,514.18,2023-01-01 02:42:33,1,TX00000023
ACC002674,ACC004615,89.94,2023-01-01 02:46:27,0,TX00000024
ACC003137,ACC004316,64.62,2023-01-01 02:46:53,0,TX00000025
ACC002998,ACC002292,1465.5,2023-01-01 02:56:16,0,TX00000026
ACC003657,ACC003753,77.82,2023-01-01 02:57:18,0,TX00000027
ACC001640,ACC003116,2601.9,2023-01-01 03:03:43,0,TX00000028
ACC001419,ACC004228,29.8,2023-01-01 03:33:44,1,TX00000029
ACC003775,ACC002065,200.0,2023-01-01 04:00:00,1,TX00000030
